CustomerKey,Prefix,FirstName,LastName,BirthDate,MyUnknownColumn,MaritalStatus,Gender,EmailAddress,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner,Phone_number
11000,MR.,JON,YANG,04-08-1966,,M,M,jon24@learnsector.com,"$90,000 ",2,Bachelors,Professional,Y,6697921661
11001,MR.,EUGENE,HUANG,14-05-1965,,S,M,eugene10@learnsector.com,"$60,000 ",3,Bachelors,Professional,N,8586376955
11002,MR.,RUBEN,TORRES,08-12-1965,,M,M,ruben35@learnsector.com,"$60,000 ",3,Bachelors,Professional,Y,6528852745
11003,MS.,CHRISTY,ZHU,15-02-1968,,S,F,christy12@learnsector.com,,0,Bachelors,Professional,N,3646568427
11004,MRS.,ELIZABETH,JOHNSON,08-08-1968,,S,F,elizabeth5@learnsector.com,"$80,000 ",5,Bachelors,Professional,Y,7132265883
11005,MR.,JULIO,RUIZ,08-05-1965,,S,M,julio1@learnsector.com,"$70,000 ",0,Bachelors,Professional,Y,1902716743
11007,MR.,MARCO,MEHTA,05-09-1964,,M,M,marco14@learnsector.com,"$60,000 ",3,Bachelors,Professional,Y,4203325209
11008,MRS.,ROBIN,VERHOFF,07-07-1964,,S,F,rob4@learnsector.com,"$60,000 ",4,Bachelors,Professional,Y,2866694333
11009,MR.,SHANNON,CARLSON,04-01-1964,,S,M,shannon38@learnsector.com,"$70,000 ",0,Bachelors,Professional,N,3417265787
11010,MS.,JACQUELYN,SUAREZ,02-06-1964,,S,F,jacquelyn20@learnsector.com,"$70,000 ",0,Bachelors,Professional,N,3166486176
11011,MR.,CURTIS,LU,11-04-1963,,M,M,curtis9@learnsector.com,"$60,000 ",4,Bachelors,Professional,Y,8338877898
11012,MRS.,LAUREN,WALKER,18-01-1968,,M,F,lauren41@learnsector.com,"$100,000 ",2,Bachelors,Management,Y,8043834080
11013,MR.,IAN,JENKINS,08-06-1968,,M,M,ian47@learnsector.com,"$100,000 ",2,Bachelors,Management,Y,211712173
11014,MRS.,SYDNEY,BENNETT,05-09-1968,,S,F,sydney23@learnsector.com,"$100,000 ",3,Bachelors,Management,N,435758409
11015,MS.,CHLOE,YOUNG,27-02-1979,,S,F,chloe23@learnsector.com,,0,Partial College,Skilled Manual,N,7907467471
11016,MR.,WYATT,HILL,28-04-1979,,M,M,wyatt32@learnsector.com,"$30,000 ",0,Partial College,Skilled Manual,Y,6493845387
11017,MRS.,SHANNON,WANG,26-06-1944,,S,F,shannon1@learnsector.com,"$20,000 ",4,High School,Skilled Manual,Y,3314308824
11018,MR.,CLARENCE,RAI,10-09-1944,,S,M,clarence32@learnsector.com,"$30,000 ",2,Partial College,Clerical,Y,5733069938
11019,MR.,LUKE,LAL,03-07-1978,,S,M,luke18@learnsector.com,"$40,000 ",0,High School,Skilled Manual,N,4664242102
11020,MR.,JORDAN,KING,20-09-1978,,S,M,jordan73@learnsector.com,"$40,000 ",0,High School,Skilled Manual,N,8966421049
11021,MS.,DESTINY,WILSON,09-03-1978,,S,F,destiny7@learnsector.com,"$40,000 ",0,Partial College,Skilled Manual,N,9524964398
11022,MR.,ETHAN,ZHANG,10-12-1978,,M,M,ethan20@learnsector.com,"$40,000 ",0,Partial College,Skilled Manual,Y,3824656552
11023,MR.,SETH,EDWARDS,10-11-1978,,M,M,seth46@learnsector.com,"$40,000 ",0,Partial College,Skilled Manual,Y,7846754921
11024,MR.,RUSSELL,XIE,17-09-1978,,M,M,russell7@learnsector.com,"$60,000 ",0,Partial College,Skilled Manual,Y,2273297167
11025,,ALEJANDRO,BECK,23-12-1945,,M,NA,alejandro45@learnsector.com,"$10,000 ",2,Partial High School,Clerical,Y,2118892476
11026,MR.,HAROLD,SAI,04-03-1946,,S,M,harold3@learnsector.com,"$30,000 ",2,Partial College,Clerical,N,1035165853
11027,MR.,JESSIE,ZHAO,12-07-1946,,M,M,jessie16@learnsector.com,"$30,000 ",2,Partial College,Clerical,Y,3365252460
11028,MRS.,JILL,JIMENEZ,04-11-1946,,M,F,jill13@learnsector.com,"$30,000 ",2,Partial College,Clerical,Y,5498663721
11029,MR.,JIMMY,MORENO,21-12-1946,,M,M,jimmy9@learnsector.com,"$30,000 ",2,Partial College,Clerical,Y,4275644927
11030,MRS.,BETHANY,YUAN,22-02-1947,,M,F,bethany10@learnsector.com,"$10,000 ",2,Partial High School,Clerical,Y,4313296663
11031,MRS.,THERESA,RAMOS,22-08-1947,,M,F,theresa13@learnsector.com,"$20,000 ",4,High School,Skilled Manual,Y,8705636202
11032,MRS.,DENISE,STONE,06-11-1947,,M,F,denise10@learnsector.com,"$20,000 ",4,High School,Skilled Manual,Y,7897368837
11033,MR.,JAIME,NATH,23-09-1947,,M,M,jaime41@learnsector.com,"$20,000 ",4,High School,Skilled Manual,Y,8002492144
11034,MRS.,EBONY,GONZALEZ,19-06-1947,,M,F,ebony19@learnsector.com,"$20,000 ",4,High School,Skilled Manual,Y,7908307635
11035,,WENDY,DOMINGUEZ,24-02-1948,,M,NA,wendy12@learnsector.com,"$10,000 ",2,Partial High School,Clerical,Y,9567371944
11036,MS.,JENNIFER,RUSSELL,18-12-1978,,M,F,jennifer93@learnsector.com,"$60,000 ",0,Partial College,Skilled Manual,Y,7344809929
11037,MS.,CHLOE,GARCIA,27-11-1977,,S,F,chloe27@learnsector.com,"$40,000 ",0,Partial High School,Clerical,N,6249653392
11038,MRS.,DIANA,HERNANDEZ,23-03-1948,,M,F,diana2@learnsector.com,"$10,000 ",2,Partial High School,Clerical,Y,9027928048
11039,MR.,MARC,MARTIN,17-12-1948,,M,M,marc3@learnsector.com,"$30,000 ",3,Partial College,Clerical,Y,5174206344
11040,MR.,JESSE,MURPHY,08-01-1977,,M,M,jesse15@learnsector.com,"$30,000 ",0,Partial College,Skilled Manual,Y,8582084589
11041,MS.,AMANDA,CARTER,16-10-1977,,M,F,amanda53@learnsector.com,"$60,000 ",0,Partial College,Skilled Manual,Y,3206153590
11042,MS.,MEGAN,SANCHEZ,13-06-1977,,M,F,megan28@learnsector.com,"$70,000 ",0,Partial College,Skilled Manual,Y,5217843601
11043,MR.,NATHAN,SIMMONS,24-02-1976,,M,M,nathan11@learnsector.com,"$60,000 ",0,Partial College,Skilled Manual,Y,6321088350
11044,MR.,ADAM,FLORES,24-05-1949,,M,M,adam10@learnsector.com,"$20,000 ",2,Partial High School,Clerical,Y,2291343710
11045,MR.,LEONARD,NARA,19-05-1950,,S,M,leonard18@learnsector.com,"$30,000 ",3,High School,Skilled Manual,N,5492612558
11046,MRS.,CHRISTINE,YUAN,22-03-1950,,M,F,christine4@learnsector.com,"$30,000 ",3,High School,Skilled Manual,Y,3808309585
11047,MRS.,JACLYN,LU,27-02-1950,,M,F,jaclyn12@learnsector.com,"$30,000 ",3,High School,Skilled Manual,N,9475773720
11048,MR.,JEREMY,POWELL,22-11-1950,,M,M,jeremy26@learnsector.com,"$30,000 ",3,High School,Skilled Manual,Y,8709882775
11049,MS.,CAROL,RAI,18-07-1980,,S,F,carol8@learnsector.com,"$40,000 ",0,Partial High School,Clerical,Y,7249108709
11050,MR.,ALAN,ZHENG,09-07-1951,,M,M,alan23@learnsector.com,"$30,000 ",3,High School,Skilled Manual,Y,4886463204
11051,MR.,DANIEL,JOHNSON,08-04-1951,,S,M,daniel18@learnsector.com,"$30,000 ",3,High School,Skilled Manual,N,3381736502
11052,MRS.,HEIDI,LOPEZ,08-07-1951,,S,F,heidi19@learnsector.com,"$40,000 ",2,Partial College,Clerical,N,6256139890
11053,MS.,ANA,PRICE,20-08-1980,,M,F,ana0@learnsector.com,"$60,000 ",0,Partial College,Skilled Manual,N,1541159953
11054,MRS.,DEANNA,MUNOZ,03-10-1952,,M,F,deanna33@learnsector.com,"$40,000 ",2,Partial College,Skilled Manual,Y,4632815751
11055,MR.,GILBERT,RAJE,03-05-1952,,M,M,gilbert35@learnsector.com,"$40,000 ",2,Partial College,Skilled Manual,Y,70966652
11056,MRS.,MICHELE,NATH,04-03-1953,,M,F,michele19@learnsector.com,"$40,000 ",3,Partial College,Skilled Manual,Y,179191924
11057,MR.,CARL,ANDERSEN,10-12-1953,,M,M,carl12@learnsector.com,"$70,000 ",2,Graduate Degree,Management,Y,7656246051
11058,MR.,MARC,DIAZ,27-04-1954,,M,M,marc6@learnsector.com,"$80,000 ",2,Partial College,Skilled Manual,Y,1202157905
11059,MRS.,ASHLEE,ANDERSEN,04-01-1954,,S,F,ashlee19@learnsector.com,"$80,000 ",2,Partial College,Skilled Manual,Y,3621965800
11060,MR.,JON,ZHOU,17-03-1954,,M,M,jon28@learnsector.com,"$80,000 ",2,Partial College,Skilled Manual,Y,6896499029
11061,MR.,TODD,GAO,27-02-1954,,M,M,todd14@learnsector.com,"$80,000 ",2,Partial College,Skilled Manual,Y,6744432397
11062,MR.,NOAH,POWELL,09-02-1975,,M,M,noah5@learnsector.com,"$40,000 ",0,High School,Skilled Manual,Y,1994218585
11063,MS.,ANGELA,MURPHY,04-07-1975,,S,F,angela41@learnsector.com,"$40,000 ",0,High School,Skilled Manual,Y,1527861085
11064,MR.,CHASE,REED,12-07-1975,,M,M,chase21@learnsector.com,"$40,000 ",0,High School,Skilled Manual,Y,3334677388
11065,MS.,JESSICA,HENDERSON,10-09-1973,,M,F,jessica29@learnsector.com,"$60,000 ",0,Partial College,Skilled Manual,N,1417234259
11066,MS.,GRACE,BUTLER,27-11-1973,,M,F,grace62@learnsector.com,"$70,000 ",0,Partial College,Professional,Y,8526123076
11067,MR.,CALEB,CARTER,25-09-1976,,S,M,caleb40@learnsector.com,"$60,000 ",0,Partial College,Professional,Y,4194436780
11068,MRS.,TIFFANY,LIANG,23-09-1955,,S,F,tiffany17@learnsector.com,"$80,000 ",2,High School,Skilled Manual,Y,7386182202
11069,MRS.,CAROLYN,NAVARRO,21-09-1955,,S,F,carolyn30@learnsector.com,"$80,000 ",2,High School,Skilled Manual,N,3046923370
11070,MR.,WILLIE,RAJI,04-05-1955,,M,M,willie40@learnsector.com,"$80,000 ",2,High School,Skilled Manual,Y,2073194187
11071,MRS.,LINDA,SERRANO,26-06-1955,,S,F,linda31@learnsector.com,"$80,000 ",2,High School,Skilled Manual,Y,7708557071
11072,MRS.,CASEY,LUO,02-06-1955,,S,F,casey6@learnsector.com,"$80,000 ",2,High School,Skilled Manual,N,964722569
11073,MRS.,AMY,YE,14-08-1956,,S,F,amy16@learnsector.com,"$70,000 ",2,High School,Skilled Manual,Y,623865362
11074,MR.,LEVI,ARUN,28-08-1956,,S,M,levi6@learnsector.com,"$70,000 ",2,High School,Skilled Manual,Y,1251115926
11075,MRS.,FELICIA,JIMENEZ,16-11-1957,,S,F,felicia4@learnsector.com,"$80,000 ",2,High School,Professional,Y,3083219169
11076,MR.,BLAKE,ANDERSON,13-07-1957,,S,M,blake9@learnsector.com,"$80,000 ",2,High School,Professional,Y,5807379824
11077,MRS.,LEAH,YE,19-09-1957,,S,F,leah7@learnsector.com,"$80,000 ",2,High School,Professional,N,7649874238
11078,MS.,GINA,MARTIN,01-10-1974,,S,F,gina1@learnsector.com,"$40,000 ",0,High School,Professional,N,387202239
11079,MR.,DONALD,GONZALEZ,03-11-1959,,S,M,donald20@learnsector.com,"$160,000 ",0,Graduate Degree,Management,Y,6489538540
11080,MR.,DAMIEN,CHANDER,17-07-1959,,M,M,damien32@learnsector.com,"$170,000 ",0,Graduate Degree,Management,Y,9636801077
11081,MRS.,SAVANNAH,BAKER,24-07-1966,,M,F,savannah39@learnsector.com,,2,Bachelors,Management,Y,1773591844
11082,,ANGELA,BUTLER,08-04-1966,,S,NA,angela17@learnsector.com,"$130,000 ",0,Graduate Degree,Management,N,5047432620
11083,MS.,ALYSSA,COX,15-03-1966,,M,F,alyssa37@learnsector.com,"$130,000 ",0,Graduate Degree,Management,Y,3076316954
11084,MR.,LUCAS,PHILLIPS,09-12-1957,,S,M,lucas7@learnsector.com,"$80,000 ",2,Partial High School,Skilled Manual,N,6996427831
11085,MRS.,EMILY,JOHNSON,19-07-1957,,S,F,emily1@learnsector.com,"$60,000 ",2,High School,Professional,N,5307652207
11086,MR.,RYAN,BROWN,23-12-1957,,M,M,ryan43@learnsector.com,"$70,000 ",2,Partial College,Professional,Y,6972342961
11087,MRS.,TAMARA,LIANG,10-03-1957,,M,F,tamara6@learnsector.com,"$70,000 ",3,Partial College,Professional,N,7256617321
11089,MRS.,ABIGAIL,PRICE,02-05-1957,,S,F,abigail25@learnsector.com,"$80,000 ",2,Bachelors,Management,Y,704540581
11090,MR.,TREVOR,BRYANT,17-12-1957,,S,M,trevor18@learnsector.com,"$90,000 ",2,Partial College,Professional,Y,8653828535
11091,MR.,DALTON,PEREZ,04-04-1957,,M,M,dalton37@learnsector.com,"$90,000 ",2,Partial College,Professional,Y,3381111480
11092,MRS.,CHERYL,DIAZ,05-06-1967,,M,F,cheryl4@learnsector.com,"$90,000 ",2,Bachelors,Professional,Y,9491331514
11093,MS.,AIMEE,HE,09-10-1967,,M,F,aimee13@learnsector.com,"$100,000 ",0,Graduate Degree,Management,Y,8897373353
11094,MR.,CEDRIC,MA,04-01-1962,,S,M,cedric15@learnsector.com,"$70,000 ",1,Partial College,Skilled Manual,N,7177465383
11095,MR.,CHAD,KUMAR,09-01-1962,,S,M,chad9@learnsector.com,"$70,000 ",1,Partial College,Skilled Manual,Y,476349610
11096,MR.,ANDRÉS,ANAND,08-10-1962,,M,M,andrés18@learnsector.com,"$60,000 ",1,Bachelors,Professional,Y,6601759098
11097,MR.,EDWIN,NARA,27-10-1961,,M,M,edwin39@learnsector.com,"$60,000 ",1,Partial College,Skilled Manual,Y,4387968267
11098,MRS.,MALLORY,RUBIO,05-01-1961,,S,F,mallory7@learnsector.com,"$60,000 ",1,Partial College,Skilled Manual,N,4481623076
11099,MR.,ADAM,ROSS,03-08-1961,,M,M,adam2@learnsector.com,"$60,000 ",1,Bachelors,Professional,Y,5404991735
11100,MRS.,LATASHA,NAVARRO,15-09-1960,,S,F,latasha10@learnsector.com,"$60,000 ",1,Partial College,Skilled Manual,Y,4324564500
11101,MS.,ABBY,SAI,05-08-1965,,S,F,abby4@learnsector.com,"$70,000 ",0,Bachelors,Professional,N,2535356431
11102,MRS.,JULIA,NELSON,21-04-1965,,S,F,julia7@learnsector.com,"$80,000 ",5,Bachelors,Professional,Y,3582946282
11103,MS.,CASSIE,CHANDE,17-10-1964,,S,F,cassie13@learnsector.com,"$70,000 ",0,Bachelors,Professional,Y,7733808502
11104,MR.,EDGAR,SARA,03-11-1964,,M,M,edgar11@learnsector.com,"$70,000 ",0,Bachelors,Professional,N,9525064281
11105,MS.,CANDACE,FERNANDEZ,28-12-1964,,S,F,candace15@learnsector.com,"$70,000 ",0,Bachelors,Professional,N,1891377120
11106,MR.,JESSIE,LIU,09-11-1964,,S,M,jessie9@learnsector.com,"$70,000 ",0,Bachelors,Professional,N,496320970
11107,MRS.,BIANCA,LIN,09-09-1959,,M,F,bianca7@learnsector.com,"$90,000 ",1,Bachelors,Professional,Y,9956416241
11108,MS.,KARI,ALVAREZ,14-07-1963,,S,F,kari25@learnsector.com,"$70,000 ",0,Bachelors,Professional,N,2471401235
11109,MR.,RUBEN,KAPOOR,11-05-1963,,S,M,ruben1@learnsector.com,"$70,000 ",0,Bachelors,Professional,N,2441584067
11110,MR.,CURTIS,YANG,06-06-1962,,M,M,curtis5@learnsector.com,"$60,000 ",1,Partial College,Skilled Manual,Y,8797861294
11111,MRS.,MEREDITH,GUTIERREZ,23-02-1962,,M,F,meredith34@learnsector.com,"$60,000 ",1,Partial College,Skilled Manual,Y,777656700
11112,MRS.,CRYSTAL,WANG,09-09-1962,,M,F,crystal3@learnsector.com,"$60,000 ",1,Partial College,Skilled Manual,Y,8515095189
11113,MR.,MICHEAL,BLANCO,21-02-1962,,M,M,micheal11@learnsector.com,"$70,000 ",5,Bachelors,Professional,Y,8178419453
11114,MRS.,LESLIE,MORENO,28-05-1962,,S,F,leslie7@learnsector.com,"$70,000 ",5,Partial College,Skilled Manual,Y,3757461425
11115,MR.,ALVIN,CAI,02-12-1962,,M,M,alvin20@learnsector.com,"$70,000 ",5,Partial College,Skilled Manual,Y,2191139337
11116,MR.,CLINTON,CARLSON,10-07-1962,,M,M,clinton14@learnsector.com,"$70,000 ",5,Partial College,Skilled Manual,Y,169899305
11117,MRS.,APRIL,DENG,21-02-1961,,M,F,april1@learnsector.com,"$70,000 ",5,Partial College,Skilled Manual,Y,3412853564
11118,MR.,ALVIN,ZENG,07-03-1957,,S,M,alvin21@learnsector.com,"$80,000 ",1,Partial College,Skilled Manual,N,2031921183
11119,MR.,EVAN,JAMES,04-10-1935,,S,M,evan8@learnsector.com,"$30,000 ",2,Partial College,Clerical,N,5794513893
11121,MR.,ORLANDO,SUAREZ,18-11-1960,,M,M,orlando19@learnsector.com,"$70,000 ",5,Partial College,Skilled Manual,Y,8554062365
11122,MR.,BYRON,VAZQUEZ,04-02-1960,,M,M,byron9@learnsector.com,"$70,000 ",5,Partial College,Skilled Manual,Y,9474001398
11123,MR.,PHILIP,ALVAREZ,20-06-1960,,M,M,philip4@learnsector.com,"$70,000 ",5,Partial College,Skilled Manual,Y,321266289
11124,MR.,ROSS,JORDAN,27-07-1957,,S,M,ross1@learnsector.com,"$80,000 ",1,Partial College,Skilled Manual,Y,9802178754
11125,MRS.,DANA,NAVARRO,04-08-1956,,S,F,dana2@learnsector.com,"$70,000 ",1,Partial College,Skilled Manual,Y,1614127478
11126,MR.,SHAUN,CARSON,04-07-1949,,M,M,shaun16@learnsector.com,"$10,000 ",2,High School,Skilled Manual,N,8624379998
11127,MS.,JAN,EDWARDS,21-10-1975,,M,F,jan11@learnsector.com,"$40,000 ",0,High School,Skilled Manual,Y,5849949131
11128,MS.,SAMANTHA,LONG,12-05-1975,,M,F,samantha35@learnsector.com,"$40,000 ",0,High School,Skilled Manual,Y,5747022890
11129,MS.,JULIA,WRIGHT,08-05-1975,,S,F,julia17@learnsector.com,"$40,000 ",0,High School,Skilled Manual,Y,7702187968
11130,MS.,CAROLINE,RUSSELL,01-06-1980,,M,F,caroline21@learnsector.com,,0,High School,Skilled Manual,Y,78067965
11131,MS.,AMANDA,RIVERA,03-12-1980,,M,F,amanda7@learnsector.com,"$30,000 ",0,High School,Skilled Manual,N,9395928567
11132,MS.,MELISSA,RICHARDSON,26-10-1980,,S,F,melissa31@learnsector.com,"$30,000 ",0,High School,Skilled Manual,N,9512065844
11133,MS.,ANGELA,GRIFFIN,09-08-1980,,S,F,angela23@learnsector.com,"$30,000 ",0,Partial High School,Clerical,N,9989115071
11134,MR.,LARRY,TOWNSEND,26-02-1946,,S,M,larry14@learnsector.com,"$10,000 ",5,High School,Skilled Manual,Y,3559605246
11135,MR.,MARCUS,HARRIS,11-03-1979,,S,M,marcus14@learnsector.com,"$30,000 ",0,Partial High School,Clerical,N,9941892675
11136,MS.,BRIANNA,MORGAN,26-10-1978,,S,F,brianna30@learnsector.com,"$40,000 ",0,High School,Skilled Manual,N,7027374764
11137,MS.,JASMINE,TAYLOR,20-07-1978,,M,F,jasmine7@learnsector.com,"$40,000 ",0,High School,Skilled Manual,Y,1401428767
11138,MS.,LAUREN,DAVIS,15-09-1978,,M,F,lauren23@learnsector.com,"$40,000 ",0,High School,Skilled Manual,N,8646094982
11139,MRS.,TANYA,MORENO,11-09-1938,,S,F,tanya2@learnsector.com,"$30,000 ",2,Partial College,Clerical,N,1717948523
11140,MR.,JAVIER,ALVAREZ,02-11-1977,,S,M,javier1@learnsector.com,"$30,000 ",0,Partial High School,Clerical,N,5827433948
11141,MS.,NICOLE,RAMIREZ,21-06-1977,,M,F,nicole42@learnsector.com,"$40,000 ",0,High School,Skilled Manual,N,941412617
11142,MR.,EDUARDO,PATTERSON,14-08-1977,,S,M,eduardo55@learnsector.com,"$40,000 ",0,High School,Skilled Manual,N,4601497682
11143,MR.,JONATHAN,HENDERSON,02-04-1977,,M,M,jonathan4@learnsector.com,"$40,000 ",0,High School,Skilled Manual,Y,957432410
11144,MR.,EDWARD,HERNANDEZ,09-09-1979,,S,M,edward48@learnsector.com,"$40,000 ",0,High School,Skilled Manual,N,8369236657
11145,MS.,JASMINE,COLEMAN,12-08-1979,,S,F,jasmine46@learnsector.com,"$40,000 ",0,High School,Skilled Manual,N,6064437740
11146,MRS.,KARLA,GOEL,26-08-1939,,S,F,karla20@learnsector.com,"$40,000 ",2,Bachelors,Management,Y,9083095196
11147,MR.,ERNEST,WU,02-05-1939,,M,M,ernest6@learnsector.com,"$60,000 ",2,Graduate Degree,Management,Y,7726638044
11148,MR.,ROSS,VAZQUEZ,16-08-1941,,M,M,ross32@learnsector.com,"$40,000 ",2,Bachelors,Management,Y,5442945585
11149,MR.,THEODORE,GILL,20-04-1941,,M,M,theodore14@learnsector.com,"$40,000 ",2,Bachelors,Management,Y,166435989
11150,MR.,RUSSELL,SHEN,15-03-1941,,S,M,russell6@learnsector.com,"$40,000 ",2,Bachelors,Management,Y,2535446073
11151,MRS.,MELINDA,GILL,25-02-1942,,S,F,melinda9@learnsector.com,"$60,000 ",2,Graduate Degree,Management,N,9029432896
11152,MR.,JAMES,WILLIAMS,01-10-1976,,S,M,james77@learnsector.com,"$40,000 ",0,High School,Skilled Manual,Y,7407258190
11153,MS.,ANGELA,JAMES,23-06-1976,,M,F,angela34@learnsector.com,"$40,000 ",0,High School,Skilled Manual,Y,1377627073
11154,MS.,MEGAN,WALKER,21-08-1976,,S,F,megan25@learnsector.com,"$40,000 ",0,Partial College,Skilled Manual,Y,5432009275
11155,MR.,HUNTER,ROBINSON,26-01-1976,,S,M,hunter50@learnsector.com,"$40,000 ",0,Partial College,Skilled Manual,N,9969137836
11156,MS.,MARIA,ROBERTS,02-07-1976,,S,F,maria47@learnsector.com,"$40,000 ",0,Partial College,Skilled Manual,N,8848594497
11157,MS.,HANNAH,LONG,06-11-1975,,M,F,hannah32@learnsector.com,"$40,000 ",0,High School,Skilled Manual,Y,90524862
11158,MR.,JASON,WRIGHT,10-08-1975,,S,M,jason46@learnsector.com,"$40,000 ",0,High School,Skilled Manual,Y,5494371292
11159,MS.,BRIANNA,HUGHES,17-09-1975,,S,F,brianna57@learnsector.com,"$40,000 ",0,High School,Skilled Manual,N,378238167
11160,MR.,MAURICE,TANG,01-08-1974,,S,M,maurice4@learnsector.com,"$40,000 ",0,Partial College,Skilled Manual,N,9542715882
11161,MS.,EMILY,WOOD,22-04-1974,,S,F,emily27@learnsector.com,"$40,000 ",0,Partial College,Skilled Manual,N,4689896508
11162,MR.,CHASE,COX,03-05-1974,,S,M,chase10@learnsector.com,"$40,000 ",0,Partial College,Skilled Manual,Y,939161514
11163,MR.,GABRIEL,WANG,20-12-1974,,M,M,gabriel21@learnsector.com,"$40,000 ",0,Partial College,Skilled Manual,Y,8058258710
11164,MR.,DEVIN,BROOKS,05-05-1974,,S,M,devin63@learnsector.com,"$40,000 ",0,Partial College,Skilled Manual,N,5526245025
